Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,India,IND,17.5035,22.7424333333333,25.9180833333333,30.4932916666667,31.3737425,32.4270766666667,35.4331733333333,36.3132858333333,41.259365,43.0554283333334,44.941605,47.1864141666667,48.6103191666667,46.5832841666667,45.3164666666666,44.099975,45.3070083333333,41.3485333333333,43.5051833333333,48.4052666666666,45.7258121212121,46.6704666666667,53.4372333333333,58.5978454166667,61.0295144607843,64.1519444632786,67.1953128073894,65.1215686450659,68.3894670935422
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,China,CHN,4.78320833333333,5.32339166666667,5.51459166666667,5.76195833333334,8.61874266666666,8.35141666666667,8.314175,8.28981666666667,8.27895833333333,8.27825,8.27850416666666,8.27706833333333,8.2769575,8.27703666666667,8.27680083333333,8.19431666666667,7.97343833333333,7.6075325,6.948655,6.83141605176666,6.77026902870939,6.46146132655007,6.31233282683186,6.19575834608231,6.14343409448867,6.22748867298455,6.6444778294468,6.75875508633597,6.61595717735439
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,United States,USA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GDP (current US$),NY.GDP.MKTP.CD,India,IND,320979026420.035,270105341879.226,288208070278.013,279295648982.529,327274843459.429,360281909643.489,392896866204.516,415867563592.829,421351317224.941,458821052615.79,468395521654.458,485440139204.171,514939140318.756,607700687237.318,709152728830.775,820383763511.445,940259888787.721,1216736438834.96,1198895139005.92,1341888016994.9,1675615519484.96,1823051829894.55,1827637590410.41,1856721507621.58,2039126479154.52,2103588360044.94,2294796885663.16,2651474262755.45,2702929641648.74
GDP (current US$),NY.GDP.MKTP.CD,China,CHN,360857912565.966,383373318083.624,426915712715.856,444731282435.515,564321854521.013,734484834573.582,863749314718.538,961601980984.623,1029060747620.65,1094003874937.34,1211331651866.09,1339400897105.11,1470557654799.95,1660280543846.79,1955346768721.39,2285961149879.85,2752118657184.02,3550327802998.4,4594336785737.67,5101691124285.21,6087191746679.49,7551545703440.75,8532185381680.59,9570471111831.68,10475624944355.2,11061572618578.7,11233313730348.7,12310491333980.9,13894907857880.6
GDP (current US$),NY.GDP.MKTP.CD,United States,USA,5963144000000,6158129000000,6520327000000,6858559000000,7287236000000,7639749000000,8073122000000,8577552000000,9062817000000,9631172000000,10250952000000,10581929000000,10929108000000,11456450000000,12217196000000,13039197000000,13815583000000,14474228000000,14769862000000,14478067000000,15048971000000,15599732000000,16253970000000,16880683000000,17608138000000,18295019000000,18804913000000,19612102000000,20656516000000
Lending interest rate (%),FR.INR.LEND,India,IND,16.5,17.875,18.9166666666667,16.25,14.75,15.4583333333333,15.9583333333333,13.8333333333333,13.5416666666667,12.5416666666667,12.2916666666667,12.0833333333333,11.9166666666667,11.4583333333333,10.9166666666667,10.75,11.1875,13.0208333333333,13.3125,12.1875,8.33335,10.1666666666667,10.6041666666667,10.2916666666667,10.25,10.0083333333333,9.6725,9.50833333333333,9.45416666666667
Lending interest rate (%),FR.INR.LEND,China,CHN,9.36,8.64,8.64,10.98,10.98,12.06,10.08,8.64,6.39,5.85,5.85,5.85,5.31,5.31,5.58,5.58,6.12,7.47,5.31,5.31,5.81,6.56,6,6,5.6,4.35,4.35,4.35,4.35
Lending interest rate (%),FR.INR.LEND,United States,USA,10.0091666666667,8.46333333333333,6.25166666666667,6,7.13833333333333,8.82916666666667,8.27083333333333,8.44166666666667,8.35416666666667,7.99416666666667,9.23333333333333,6.92166666666667,4.675,4.1225,4.34,6.18916666666667,7.9575,8.05,5.0875,3.25,3.25,3.25,3.25,3.25,3.25,3.26,3.51166666666667,4.09666666666667,4.90416666666667
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,India,IND,5.49548841138251,6.04672905885669,6.44202320608746,6.91345031622705,7.44446172389792,7.95239418877517,8.40098720661416,8.7934199757615,9.39223158476116,9.54534638129965,9.67413340527313,9.76533140605377,9.97319728769528,10.1583819920029,10.4587464831854,10.7108919435108,11.2633636136688,11.7278022154886,12.5639813419267,13.3660920634512,14.5956322631513,15.5495491027832,16.1356633063104,17.2883428104744,18.3007666190468,19.1154412106207,19.7442391048838,20.4555778503418,20.4745960235596
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,China,CHN,1.69385761797789,1.74846260710642,1.84951948732531,2.08105719518014,2.4576331795079,2.73611799741893,2.86175777820114,2.85872287185532,2.80150205406638,2.72752034293679,2.7221220536389,2.7166741602484,2.69120997109649,2.70780633086937,2.8202147826977,2.84122348444269,2.8644505497553,3.00502265578378,3.17804290931974,3.15194327094518,3.32839098048215,3.5244677066803,3.54027676875805,3.62119296067598,3.69370698094559,3.78151493601969,3.87428963630967,4.04005241394043,4.0940899848938
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,United States,USA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 12/16/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
